"Str1","Str2","freq"
"last","year",45
"year","old",41
"new","york",38
"high","school",37
"look","like",33
"year","ago",33
"feel","like",27
"right","now",26
"dont","know",21
"last","week",21
"san","francisco",20
"can","see",19
"first","time",19
"next","week",18
"unit","state",17
"last","night",16
"los","angel",16
"st","loui",16
"cant","wait",15
"even","though",15
"make","sure",15
"two","year",15
"come","back",14
"dont","want",14
"five","year",14
"vice","presid",14
"can","get",13
"four","year",13
"last","month",13
"let","go",13
"littl","bit",13
"look","forward",13
"new","jersey",13
"one","day",13
"tell","us",13
"dont","think",12
"e","mail",12
"everi","day",12
"get","back",12
"good","thing",12
"one","thing",12
"polic","offic",12
"san","diego",12
"two","week",12
"want","get",12
"can","help",11
"just","want",11
"mani","peopl",11
"realli","want",11
"seem","like",11
"weve","got",11
"dont","get",10
"im","go",10
"let","us",10
"make","sens",10
"one","favorit",10
"said","“",10
"said","just",10
"want","see",10
"cant","believ",9
"didnt","know",9
"everi","time",9
"go","back",9
"go","get",9
"home","run",9
"im","sure",9
"just","get",9
"real","estat",9
"school","district",9
"sound","like",9
"take","place",9
"thank","much",9
"tri","get",9
"tri","make",9
"want","make",9
"african","american",8
"best","friend",8
"can","find",8
"don’t","know",8
"don’t","think",8
"friday","night",8
"give","away",8
"good","news",8
"happi","birthday",8
"health","care",8
"just","finish",8
"just","go",8
"just","like",8
"last","season",8
"law","enforc",8
"let","know",8
"long","term",8
"lot","time",8
"new","year",8
"next","year",8
"now","just",8
"phone","call",8
"read","book",8
"realli","like",8
"run","back",8
"social","media",8
"thank","follow",8
"three","day",8
"three","time",8
"want","go",8
"year","later",8
"ao","dai",7
"can","also",7
"come","home",7
"day","day",7
"dont","like",7
"dont","realli",7
"good","time",7
"ice","cream",7
"im","sorri",7
"ive","seen",7
"just","got",7
"just","love",7
"last","day",7
"make","differ",7
"mother","day",7
"much","better",7
"need","get",7
"never","got",7
"next","month",7
"offici","said",7
"one","anoth",7
"one","best",7
"one","can",7
"one","hand",7
"one","time",7
"one","year",7
"pay","attent",7
"polic","said",7
"real","life",7
"said","one",7
"say","one",7
"set","asid",7
"spend","time",7
"take","time",7
"th","street",7
"thing","can",7
"thing","like",7
"three","year",7
"time","go",7
"wait","see",7
"week","ago",7
"well","known",7
"work","well",7
"year","sinc",7
"’s","good",6
"’s","just",6
"attorney","general",6
"board","member",6
"brother","sister",6
"can","go",6
"can","make",6
"climat","chang",6
"coupl","week",6
"didnt","get",6
"dont","care",6
"even","know",6
"first","quarter",6
"first","two",6
"four","five",6
"general","manag",6
"get","littl",6
"get","marri",6
"get","one",6
"go","one",6
"good","luck",6
"got","one",6
"great","time",6
"help","us",6
"hip","hop",6
"holi","spirit",6
"ive","got",6
"just","one",6
"just","saw",6
"just","tri",6
"know","im",6
"let","get",6
"like","say",6
"like","see",6
"live","room",6
"long","time",6
"love","love",6
"much","fun",6
"next","day",6
"next","time",6
"now","im",6
"one","mani",6
"one","one",6
"one","person",6
"one","reason",6
"peopl","dont",6
"peopl","want",6
"per","game",6
"plead","guilti",6
"public","school",6
"put","togeth",6
"r","r",6
"realli","good",6
"said","that",6
"see","peopl",6
"small","group",6
"suprem","court",6
"thank","rt",6
"think","’s",6
"time","get",6
"two","men",6
"way","back",6
"york","citi",6
"your","go",6
"’ll","see",5
"’m","sure",5
"’re","go",5
"abl","get",5
"almost","everi",5
"alreadi","know",5
"ask","want",5
"blog","reader",5
"can","tell",5
"can","use",5
"chief","execut",5
"citi","council",5
"coast","guard",5
"congression","district",5
"couldnt","get",5
"day","week",5
"dont","believ",5
"dont","even",5
"dont","miss",5
"everi","week",5
"famili","friend",5
"father","day",5
"feel","good",5
"felt","like",5
"first","place",5
"follow","back",5
"free","time",5
"gave","birth",5
"get","good",5
"get","home",5
"get","point",5
"get","readi",5
"get","someth",5
"gift","certif",5
"give","one",5
"go","around",5
"go","away",5
"good","morn",5
"got","home",5
"guy","number",5
"high","tech",5
"hous","fire",5
"im","realli",5
"incom","tax",5
"ive","ever",5
"juli","th",5
"just","don’t",5
"just","much",5
"keep","us",5
"know","one",5
"last","two",5
"like","get",5
"like","im",5
"like","one",5
"long","day",5
"love","one",5
"love","thank",5
"make","decis",5
"make","feel",5
"make","happen",5
"mani","differ",5
"mani","thing",5
"mani","time",5
"mani","way",5
"may","help",5
"middl","class",5
"might","mean",5
"much","less",5
"nation","park",5
"nativ","american",5
